Simulated,Recovered,HCorr
1,1,0.872364724836963
1,2,2.57257267696382e-05
1,3,0.0299092106956932
1,4,-0.0174999629448928
2,1,-0.00924619265432816
2,2,0.869055139908804
2,3,-0.0019292229265958
2,4,0.0344045962752319
3,1,0.254957870958
3,2,-0.00868379495282277
3,3,0.862870074105399
3,4,0.0121386933950754
4,1,-0.00739163403559527
4,2,0.25644549641827
4,3,0.01032188075212
4,4,0.856720655372891
